source_system,external_receivable_id,external_customer_id,customer_name,customer_email,description,amount_brl,due_date
erp_ficticio_v1,TIT-0001,CLI-001,Empório Aurora 001 (fictício),cliente001@example.com,Mercadorias fictícias • pedido 0001,1217.39,2026-07-18
erp_ficticio_v1,TIT-0002,CLI-002,Empório Jardim 002 (fictício),cliente002@example.com,Mercadorias fictícias • pedido 0002,312.25,2026-08-02
erp_ficticio_v1,TIT-0003,CLI-003,Empório Horizonte 003 (fictício),cliente003@example.com,Mercadorias fictícias • pedido 0003,2933.89,2026-08-09
erp_ficticio_v1,TIT-0004,CLI-004,Empório Brisa 004 (fictício),cliente004@example.com,Mercadorias fictícias • pedido 0004,2617.87,2026-08-10
erp_ficticio_v1,TIT-0005,CLI-005,Empório Cedro 005 (fictício),cliente005@example.com,Mercadorias fictícias • pedido 0005,2390.53,2026-08-14
erp_ficticio_v1,TIT-0006,CLI-006,Empório Luar 006 (fictício),cliente006@example.com,Mercadorias fictícias • pedido 0006,1513.16,2026-08-16
erp_ficticio_v1,TIT-0007,CLI-007,Empório Nuvem 007 (fictício),cliente007@example.com,Mercadorias fictícias • pedido 0007,1124.73,2026-08-17
erp_ficticio_v1,TIT-0008,CLI-008,Empório Ipê 008 (fictício),cliente008@example.com,Mercadorias fictícias • pedido 0008,961.61,2026-08-18
erp_ficticio_v1,TIT-0009,CLI-009,Empório Aurora 009 (fictício),cliente009@example.com,Mercadorias fictícias • pedido 0009,4474.17,2026-08-20
erp_ficticio_v1,TIT-0010,CLI-010,Empório Jardim 010 (fictício),cliente010@example.com,Mercadorias fictícias • pedido 0010,383.26,2026-08-24
erp_ficticio_v1,TIT-0011,CLI-011,Empório Horizonte 011 (fictício),cliente011@example.com,Mercadorias fictícias • pedido 0011,362.44,2026-09-01
erp_ficticio_v1,TIT-0012,CLI-012,Empório Brisa 012 (fictício),cliente012@example.com,Mercadorias fictícias • pedido 0012,1032.46,2026-09-16
erp_ficticio_v1,TIT-0013,CLI-013,Empório Cedro 013 (fictício),cliente013@example.com,Mercadorias fictícias • pedido 0013,2342.58,2026-07-18
erp_ficticio_v1,TIT-0014,CLI-014,Empório Luar 014 (fictício),cliente014@example.com,Mercadorias fictícias • pedido 0014,2489.62,2026-08-02
